mutation_id,scenario_id,status,outcome,k_source,k_followup,ratio,assertion
M05-openmoc-runner-chi-swap-groups,openmc-pincell-sigma-a,not-affected,,,,,
M06-openmoc-runner-vacuum-boundary,openmoc-pincell-nu-sigma-f,ran,missed,0.004700,0.007045,1.498978,greater
M06-openmoc-runner-vacuum-boundary,openmc-pincell-nu-sigma-f,not-affected,,,,,
M06-openmoc-runner-vacuum-boundary,openmoc-pincell-sigma-a,ran,missed,0.004700,0.004655,0.990575,less
M06-openmoc-runner-vacuum-boundary,openmc-pincell-sigma-a,not-affected,,,,,
M07-openmoc-adapter-nsf-inverse,openmoc-pincell-nu-sigma-f,ran,detected,1.133058,0.755157,0.666476,greater
M07-openmoc-adapter-nsf-inverse,openmc-pincell-nu-sigma-f,not-affected,,,,,
M07-openmoc-adapter-nsf-inverse,openmoc-pincell-sigma-a,not-affected,,,,,
M07-openmoc-adapter-nsf-inverse,openmc-pincell-sigma-a,not-affected,,,,,
M08-openmoc-adapter-nsf-square,openmoc-pincell-nu-sigma-f,ran,missed,1.133058,2.550180,2.250705,greater
M08-openmoc-adapter-nsf-square,openmc-pincell-nu-sigma-f,not-affected,,,,,
M08-openmoc-adapter-nsf-square,openmoc-pincell-sigma-a,not-affected,,,,,
M08-openmoc-adapter-nsf-square,openmc-pincell-sigma-a,not-affected,,,,,
M09-openmoc-adapter-nsf-moderator,openmoc-pincell-nu-sigma-f,ran,detected,1.133058,1.133058,1.000000,greater
M09-openmoc-adapter-nsf-moderator,openmc-pincell-nu-sigma-f,not-affected,,,,,
M09-openmoc-adapter-nsf-moderator,openmoc-pincell-sigma-a,not-affected,,,,,
M09-openmoc-adapter-nsf-moderator,openmc-pincell-sigma-a,not-affected,,,,,
M10-openmoc-adapter-nsf-identity,openmoc-pincell-nu-sigma-f,ran,detected,1.133058,1.133058,1.000000,greater
M10-openmoc-adapter-nsf-identity,openmc-pincell-nu-sigma-f,not-affected,,,,,
M10-openmoc-adapter-nsf-identity,openmoc-pincell-sigma-a,not-affected,,,,,
M10-openmoc-adapter-nsf-identity,openmc-pincell-sigma-a,not-affected,,,,,
M11-openmoc-adapter-nsf-fast-only,openmoc-pincell-nu-sigma-f,ran,detected,1.133058,0.523765,0.462258,greater
M11-openmoc-adapter-nsf-fast-only,openmc-pincell-nu-sigma-f,not-affected,,,,,
M11-openmoc-adapter-nsf-fast-only,openmoc-pincell-sigma-a,not-affected,,,,,
M11-openmoc-adapter-nsf-fast-only,openmc-pincell-sigma-a,not-affected,,,,,
M12-openmoc-adapter-sa-no-sigt-update,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M12-openmoc-adapter-sa-no-sigt-update,openmc-pincell-nu-sigma-f,not-affected,,,,,
M12-openmoc-adapter-sa-no-sigt-update,openmoc-pincell-sigma-a,ran,detected,1.133058,1.133058,1.000000,less
M12-openmoc-adapter-sa-no-sigt-update,openmc-pincell-sigma-a,not-affected,,,,,
M13-openmoc-adapter-sa-inverse,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M13-openmoc-adapter-sa-inverse,openmc-pincell-nu-sigma-f,not-affected,,,,,
M13-openmoc-adapter-sa-inverse,openmoc-pincell-sigma-a,ran,detected,1.133058,1.510869,1.333444,less
M13-openmoc-adapter-sa-inverse,openmc-pincell-sigma-a,not-affected,,,,,
M14-openmoc-adapter-sa-moderator,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M14-openmoc-adapter-sa-moderator,openmc-pincell-nu-sigma-f,not-affected,,,,,
M14-openmoc-adapter-sa-moderator,openmoc-pincell-sigma-a,ran,missed,1.133058,0.476353,0.420414,less
M14-openmoc-adapter-sa-moderator,openmc-pincell-sigma-a,not-affected,,,,,
M15-openmc-runner-chi-zero,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M15-openmc-runner-chi-zero,openmc-pincell-nu-sigma-f,error,error,,,,
M15-openmc-runner-chi-zero,openmoc-pincell-sigma-a,not-affected,,,,,
M15-openmc-runner-chi-zero,openmc-pincell-sigma-a,error,error,,,,
M16-openmc-runner-scatter-transpose,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M16-openmc-runner-scatter-transpose,openmc-pincell-nu-sigma-f,ran,missed,0.582370,0.874299,1.501279,greater
M16-openmc-runner-scatter-transpose,openmoc-pincell-sigma-a,not-affected,,,,,
M16-openmc-runner-scatter-transpose,openmc-pincell-sigma-a,ran,missed,0.582370,0.398679,0.684581,less
M17-openmc-runner-vacuum-boundary,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M17-openmc-runner-vacuum-boundary,openmc-pincell-nu-sigma-f,ran,missed,0.004912,0.007376,1.501528,greater
M17-openmc-runner-vacuum-boundary,openmoc-pincell-sigma-a,not-affected,,,,,
M17-openmc-runner-vacuum-boundary,openmc-pincell-sigma-a,ran,missed,0.004912,0.004861,0.989446,less
M19-openmc-runner-hardcode-keff,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M19-openmc-runner-hardcode-keff,openmc-pincell-nu-sigma-f,ran,detected,1.000000,1.000000,1.000000,greater
M19-openmc-runner-hardcode-keff,openmoc-pincell-sigma-a,not-affected,,,,,
M19-openmc-runner-hardcode-keff,openmc-pincell-sigma-a,ran,detected,1.000000,1.000000,1.000000,less
M20-openmc-runner-chi-swap-groups,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M20-openmc-runner-chi-swap-groups,openmc-pincell-nu-sigma-f,ran,missed,1.279365,1.917749,1.498985,greater
M20-openmc-runner-chi-swap-groups,openmoc-pincell-sigma-a,not-affected,,,,,
M20-openmc-runner-chi-swap-groups,openmc-pincell-sigma-a,ran,missed,1.279365,0.963104,0.752798,less
M22-openmc-adapter-nsf-inverse,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M22-openmc-adapter-nsf-inverse,openmc-pincell-nu-sigma-f,ran,detected,1.124500,0.750332,0.667258,greater
M22-openmc-adapter-nsf-inverse,openmoc-pincell-sigma-a,not-affected,,,,,
M22-openmc-adapter-nsf-inverse,openmc-pincell-sigma-a,not-affected,,,,,
M23-openmc-adapter-nsf-square,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M23-openmc-adapter-nsf-square,openmc-pincell-nu-sigma-f,ran,missed,1.124500,2.535312,2.254613,greater
M23-openmc-adapter-nsf-square,openmoc-pincell-sigma-a,not-affected,,,,,
M23-openmc-adapter-nsf-square,openmc-pincell-sigma-a,not-affected,,,,,
M24-openmc-adapter-nsf-moderator,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M24-openmc-adapter-nsf-moderator,openmc-pincell-nu-sigma-f,ran,detected,1.124500,1.124500,1.000000,greater
M24-openmc-adapter-nsf-moderator,openmoc-pincell-sigma-a,not-affected,,,,,
M24-openmc-adapter-nsf-moderator,openmc-pincell-sigma-a,not-affected,,,,,
M25-openmc-adapter-nsf-identity,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M25-openmc-adapter-nsf-identity,openmc-pincell-nu-sigma-f,ran,missed,1.124500,1.124500,1.000000,greater
M25-openmc-adapter-nsf-identity,openmoc-pincell-sigma-a,not-affected,,,,,
M25-openmc-adapter-nsf-identity,openmc-pincell-sigma-a,not-affected,,,,,
M27-openmc-adapter-sa-inverse,openmoc-pincell-nu-sigma-f,not-affected,,,,,
M27-openmc-adapter-sa-inverse,openmc-pincell-nu-sigma-f,not-affected,,,,,
M27-openmc-adapter-sa-inverse,openmoc-pincell-sigma-a,not-affected,,,,,
M27-openmc-adapter-sa-inverse,openmc-pincell-sigma-a,ran,detected,1.124500,1.498816,1.332873,less
